Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
783,1553751,12358.26689,6622
793.25,2620850,20148.56463,4940
749.35,1246821,9555.658209,4069
757.4,1303437,9763.724607,3974
736.8,1289757,9771.005524,4407
770.9,1439640,10793.43462,4158
760.55,1335669,10253.94844,3516
703.1,1956217,13864.40762,4383
681.5,1589382,10953.11659,4095
705.8,910020,6381.591169,2969
714.35,1311425,9226.22714,4375
704.5,1527414,10962.20882,4866
735.75,1822054,13238.70647,4606
794.5,2196545,16843.51629,7869
750.5,3052176,23320.50237,7814
718.1,2112724,15278.053,5422
703.7,3090066,21960.05448,8234
697.15,1915465,13241.5929,5851
678.65,1436950,9898.99516,6479
685.05,2723216,18315.243,9729
678.2,1980763,13531.87839,9265
628.6,2409279,15278.12959,5642
605.05,2235984,13482.18215,5710
593.85,1889999,11237.27244,3972
634.45,2156295,13092.52465,7117
580.2,2431551,14159.19518,8468
600.45,2182168,13008.12822,5987
603.95,1702307,10515.42298,5305
606.95,1978960,11739.57666,5266
669.1,2390756,15590.10054,8017
678.45,2080990,13732.7467,8632
665.25,3488851,23489.18205,10756
634.35,5220498,34413.71565,23440
597.1,5101472,30295.82128,14476
584.45,3146440,18672.68871,7879
635.45,4875604,30343.00067,11037
685.6,3502093,23633.8291,10880
697.4,2660235,18359.10325,5232
735.05,3676843,26607.6765,9601
763.65,3202964,25050.31993,6523
760.3,3145833,24213.07354,7744
712.85,2216559,15961.8305,7066
697.3,3075051,21685.98095,7546
619.7,4701293,29988.0838,14430
679.25,4372760,28733.75611,16337
653.9,2739194,17953.35235,9599
679.9,3578762,23686.72996,8429
706.05,3269621,22904.67344,8314
760.55,4498341,33498.52269,12350
743.05,4280259,33090.35789,12131
746.55,2112731,15878.49117,6472
735.15,4538510,32837.86317,12387
759.6,2407400,18338.43026,7071
720.55,2771302,20304.08192,7569
725.1,3900862,28153.52339,9598
700,4291347,30041.32952,11146
692.5,3388626,23617.1177,7554
679.8,2537770,17252.18504,6703
673.8,2487210,16947.11196,7312
649.1,1994820,13078.09942,7656
679.85,3158464,21067.77987,11236
685.6,2373952,16540.27585,10580
679.65,3396473,22866.32091,14774
677.35,2611009,17851.0178,13259
670.55,2167216,14617.43732,11446
723.4,3815226,27169.4186,12799
722.9,3106116,22058.98174,10344
759.85,4811867,35929.51457,17844
734.2,4146548,30784.85675,15870
687.25,6016197,42064.85551,17383
711.25,4460463,32029.14963,14311
710,3140833,22153.09011,13406
710.45,3689284,26294.06217,15561
704.15,2511110,17702.14245,14977
692.55,2591494,18150.10581,12304
656.9,3244552,21068.46033,13908
695.8,4110999,27519.72904,18029
666.45,3876136,26390.07312,17436
678.6,4606352,30945.53022,17678
708.55,3972330,27955.93265,14894
704.9,2606788,18538.91671,10213
683.35,2402402,16672.26082,11823
710.2,3640893,25467.42915,13167
721.4,4270445,30694.2756,16847
705.1,4739740,33848.50108,13104
671.55,4812453,32647.14701,15373
720.25,4547450,31578.3118,17162
734.6,5478770,39755.42832,15148
702.3,4605365,33292.44995,16521
678,2783251,19190.6237,12810
682.9,3811683,25947.13554,17001
647.75,4167456,25845.3852,17324
552.6,4547291,26732.14085,18370
659.95,4472423,28141.54233,14898
639.05,5151585,34481.89943,16532
618.8,4108439,25469.32288,14839
626.25,4252304,25630.86244,17345
620.35,3857142,24355.9079,14449
617.9,5020890,31445.45184,14034
656.5,3934153,25351.00576,14494
631.2,2669243,17154.52456,21033
622.4,3385081,20892.73945,28792
538.85,4314310,24324.6519,29280
534.55,3211069,16112.50974,18641
570,522464,2950.496443,3096
526.85,4443543,24071.53243,30484
562.95,2949632,16224.7172,11585
602.2,2808227,16726.03159,9425
640.45,3510260,21844.04734,12165
604,3768257,23762.5904,13051
582.7,2941701,17299.60026,11869
581.6,3627601,20729.31781,13207
608.9,2839790,17026.48977,9952
564.05,2173945,12479.84018,9243
525.3,2689984,14628.25912,13119
